barcode	reads	process
barcode01	313	barcode
barcode02	290	barcode
barcode03	279	barcode
barcode04	302	barcode
barcode05	317	barcode
barcode06	303	barcode
barcode07	325	barcode
barcode08	397	barcode
barcode09	277	barcode
barcode10	311	barcode
barcode11	339	barcode
barcode12	197	barcode
barcode13	339	barcode
barcode14	317	barcode
barcode15	272	barcode
barcode16	288	barcode
barcode17	272	barcode
barcode18	252	barcode
barcode20	446	barcode
barcode21	278	barcode
barcode22	238	barcode
barcode23	270	barcode
barcode24	216	barcode
barcode25	320	barcode
barcode26	291	barcode
barcode27	311	barcode
barcode28	291	barcode
barcode29	224	barcode
barcode31	207	barcode
barcode32	326	barcode
barcode33	220	barcode
barcode35	282	barcode
barcode36	253	barcode
barcode37	311	barcode
barcode38	293	barcode
barcode39	270	barcode
barcode40	290	barcode
barcode41	182	barcode
barcode42	233	barcode
barcode45	184	barcode
barcode46	143	barcode
barcode47	270	barcode
barcode49	272	barcode
barcode50	343	barcode
barcode51	263	barcode
barcode52	350	barcode
barcode53	215	barcode
barcode54	201	barcode
barcode55	247	barcode
barcode56	411	barcode
barcode57	209	barcode
barcode58	150	barcode
barcode59	223	barcode
barcode60	368	barcode
barcode61	255	barcode
barcode62	264	barcode
barcode63	351	barcode
barcode64	334	barcode
barcode65	203	barcode
barcode66	197	barcode
barcode67	251	barcode
barcode69	217	barcode
barcode70	155	barcode
barcode72	1	barcode
barcode74	1	barcode
barcode75	1	barcode
barcode76	370	barcode
barcode77	244	barcode
barcode78	120	barcode
barcode79	326	barcode
barcode80	1	barcode
barcode81	115	barcode
barcode82	116	barcode
barcode83	149	barcode
barcode84	2	barcode
barcode85	1	barcode
barcode89	222	barcode
barcode90	281	barcode
barcode91	266	barcode
barcode93	172	barcode
barcode95	258	barcode
unclassified	4136	barcode
